IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.255.56.138,80,80,false,IAD,North America,Ashburn,262,17.00
4.255.56.137,443,443,true,IAD,North America,Ashburn,287,16.12
4.255.56.138,443,443,true,IAD,North America,Ashburn,265,11.41
99.83.209.185,443,443,true,IAD,North America,Ashburn,85,11.24
75.2.32.4,443,443,true,IAD,North America,Ashburn,80,10.58
3.93.71.36,443,443,true,IAD,North America,Ashburn,236,9.88
20.62.202.159,443,443,true,IAD,North America,Ashburn,295,3.91
170.106.35.96,80,80,false,IAD,North America,Ashburn,228,1.99
107.175.222.33,8443,443,true,IAD,North America,Ashburn,239,0.81
129.159.84.71,443,443,true,IAD,North America,Ashburn,246,0.71
107.175.245.68,50242,443,true,IAD,North America,Ashburn,266,0.21
107.175.222.192,443,443,true,IAD,North America,Ashburn,268,0.08
34.86.193.161,443,443,true,IAD,North America,Ashburn,229,0.00
35.186.170.241,443,443,true,IAD,North America,Ashburn,225,0.00
34.48.111.143,443,443,true,IAD,North America,Ashburn,317,0.00
20.75.178.96,443,443,true,IAD,North America,Ashburn,226,0.00
3.235.98.66,443,443,true,IAD,North America,Ashburn,220,0.00
67.226.221.231,443,443,true,IAD,North America,Ashburn,224,0.00
204.110.222.103,443,443,true,IAD,North America,Ashburn,228,0.00
52.206.25.221,443,443,true,IAD,North America,Ashburn,218,0.00
18.211.101.20,443,443,true,IAD,North America,Ashburn,229,0.00
34.194.76.43,443,443,true,IAD,North America,Ashburn,237,0.00
20.84.109.185,443,443,true,IAD,North America,Ashburn,252,0.00
34.150.180.124,443,443,true,IAD,North America,Ashburn,252,0.00
47.236.10.100,8080,8080,false,SIN,Asia Pacific,Singapore,83,19.19
47.236.169.164,80,80,false,SIN,Asia Pacific,Singapore,93,18.81
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,76,17.12
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,97,16.47
47.236.145.85,8880,8880,false,SIN,Asia Pacific,Singapore,98,16.17
47.236.158.158,2086,2086,false,SIN,Asia Pacific,Singapore,91,15.65
8.222.215.228,80,80,false,SIN,Asia Pacific,Singapore,89,15.05
8.219.163.195,2086,2086,false,SIN,Asia Pacific,Singapore,77,14.77
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,101,14.61
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,81,14.34
8.222.162.45,2083,2083,true,SIN,Asia Pacific,Singapore,86,14.31
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,80,14.31
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,80,14.26
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,81,14.13
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,99,14.02
8.219.174.142,2086,2086,false,SIN,Asia Pacific,Singapore,87,13.61
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,95,13.54
47.237.121.38,8443,8443,true,SIN,Asia Pacific,Singapore,102,13.32
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,95,13.20
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,95,13.13
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,96,12.92
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,101,12.84
47.236.168.17,2095,2095,false,SIN,Asia Pacific,Singapore,93,12.82
8.219.200.145,80,80,false,SIN,Asia Pacific,Singapore,83,12.78
47.236.237.90,80,80,false,SIN,Asia Pacific,Singapore,85,12.70
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,90,12.67
8.219.147.58,2053,2053,true,SIN,Asia Pacific,Singapore,90,12.66
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,81,12.63
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,88,12.60
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,86,12.35
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,83,12.29
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,101,12.22
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,85,12.10
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,111,12.00
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,112,11.96
8.219.200.145,2052,2052,false,SIN,Asia Pacific,Singapore,108,11.92
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,80,11.84
8.222.162.45,2052,2052,false,SIN,Asia Pacific,Singapore,76,11.78
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,96,11.77
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,116,11.73
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,111,11.68
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,100,11.61
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,87,11.56
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,85,11.54
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,114,11.43
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,89,11.39
